text,arrayWords,arrayFeatures,arrayScaledFeatures
They were indeed a queer-looking party that assembled on the bank—the,"[they, were, indeed, a, queer-looking, party, that, assembled, on, the, bank—the]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
"birds with draggled feathers, the animals with their fur clinging close","[birds, with, draggled, feathers,, the, animals, with, their, fur, clinging, close]","[71.0,11.0]","[0.963384628870272,0.49254477466009]"
"to them, and all dripping wet, cross, and uncomfortable.","[to, them,, and, all, dripping, wet,, cross,, and, uncomfortable.]","[56.0,9.0]","[0.4542382080421716,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The first question of course was, how to get dry again: they had a","[the, first, question, of, course, was,, how, to, get, dry, again:, they, had, a]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"consultation about this, and after a few minutes it seemed quite","[consultation, about, this,, and, after, a, few, minutes, it, seemed, quite]","[64.0,11.0]","[0.7257829658171584,0.49254477466009]"
"natural to Alice to find herself talking familiarly with them, as if","[natural, to, alice, to, find, herself, talking, familiarly, with, them,, as, if]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"she had known them all her life. Indeed, she had quite a long argument","[she, had, known, them, all, her, life., indeed,, she, had, quite, a, long, argument]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
"with the Lory, who at last turned sulky, and would only say, “I am","[with, the, lory,, who, at, last, turned, sulky,, and, would, only, say,, “i, am]","[66.0,14.0]","[0.7936691552609052,1.0384566305038794]"
"older than you, and must know better;” and this Alice would not allow","[older, than, you,, and, must, know, better;”, and, this, alice, would, not, allow]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"without knowing how old it was, and, as the Lory positively refused to","[without, knowing, how, old, it, was,, and,, as, the, lory, positively, refused, to]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"tell its age, there was no more to be said.","[tell, its, age,, there, was, no, more, to, be, said.]","[43.0,10.0]","[0.012977976657817879,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"At last the Mouse, who seemed to be a person of authority among them,","[at, last, the, mouse,, who, seemed, to, be, a, person, of, authority, among, them,]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"called out, “Sit down, all of you, and listen to me! _I’ll_ soon make","[called, out,, “sit, down,, all, of, you,, and, listen, to, me!, _i’ll_, soon, make]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"you dry enough!” They all sat down at once, in a large ring, with the","[you, dry, enough!”, they, all, sat, down, at, once,, in, a, large, ring,, with, the]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"Mouse in the middle. Alice kept her eyes anxiously fixed on it, for she","[mouse, in, the, middle., alice, kept, her, eyes, anxiously, fixed, on, it,, for, she]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
felt sure she would catch a bad cold if she did not get dry very soon.,"[felt, sure, she, would, catch, a, bad, cold, if, she, did, not, get, dry, very, soon.]","[70.0,16.0]","[0.9294415341483986,1.4023978677330722]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Ahem!” said the Mouse with an important air, “are you all ready? This","[“ahem!”, said, the, mouse, with, an, important, air,, “are, you, all, ready?, this]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"is the driest thing I know. Silence all round, if you please! ‘William","[is, the, driest, thing, i, know., silence, all, round,, if, you, please!, ‘william]","[70.0,13.0]","[0.9294415341483986,0.8564860118892829]"
"the Conqueror, whose cause was favoured by the pope, was soon submitted","[the, conqueror,, whose, cause, was, favoured, by, the, pope,, was, soon, submitted]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
"to by the English, who wanted leaders, and had been of late much","[to, by, the, english,, who, wanted, leaders,, and, had, been, of, late, much]","[64.0,13.0]","[0.7257829658171584,0.8564860118892829]"
"accustomed to usurpation and conquest. Edwin and Morcar, the earls of","[accustomed, to, usurpation, and, conquest., edwin, and, morcar,, the, earls, of]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
Mercia and Northumbria—’”,"[mercia, and, northumbria—’”]","[25.0,3.0]","[-0.5979977283359026,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Ugh!” said the Lory, with a shiver.","[“ugh!”, said, the, lory,, with, a, shiver.]","[36.0,7.0]","[-0.22462368639529565,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I beg your pardon!” said the Mouse, frowning, but very politely: “Did","[“i, beg, your, pardon!”, said, the, mouse,, frowning,, but, very, politely:, “did]","[70.0,12.0]","[0.9294415341483986,0.6745153932746865]"
you speak?”,"[you, speak?”]","[11.0,2.0]","[-1.0732010544421295,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Not I!” said the Lory hastily.,"[“not, i!”, said, the, lory, hastily.]","[31.0,6.0]","[-0.39433916000466246,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I thought you did,” said the Mouse. “—I proceed. ‘Edwin and Morcar,","[“i, thought, you, did,”, said, the, mouse., “—i, proceed., ‘edwin, and, morcar,]","[68.0,12.0]","[0.8615553447046519,0.6745153932746865]"
"the earls of Mercia and Northumbria, declared for him: and even","[the, earls, of, mercia, and, northumbria,, declared, for, him:, and, even]","[63.0,11.0]","[0.6918398710952851,0.49254477466009]"
"Stigand, the patriotic archbishop of Canterbury, found it advisable—’”","[stigand,, the, patriotic, archbishop, of, canterbury,, found, it, advisable—’”]","[70.0,9.0]","[0.9294415341483986,0.1286035374308971]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Found _what_?” said the Duck.,"[“found, _what_?”, said, the, duck.]","[30.0,5.0]","[-0.4282822547265358,-0.5992789370274886]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Found _it_,” the Mouse replied rather crossly: “of course you know","[“found, _it_,”, the, mouse, replied, rather, crossly:, “of, course, you, know]","[67.0,11.0]","[0.8276122499827785,0.49254477466009]"
what ‘it’ means.”,"[what, ‘it’, means.”]","[17.0,3.0]","[-0.8695424861108895,-0.9632201742566815]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“I know what ‘it’ means well enough, when _I_ find a thing,” said the","[“i, know, what, ‘it’, means, well, enough,, when, _i_, find, a, thing,”, said, the]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
"Duck: “it’s generally a frog or a worm. The question is, what did the","[duck:, “it’s, generally, a, frog, or, a, worm., the, question, is,, what, did, the]","[69.0,14.0]","[0.8954984394265252,1.0384566305038794]"
archbishop find?”,"[archbishop, find?”]","[17.0,2.0]","[-0.8695424861108895,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"The Mouse did not notice this question, but hurriedly went on, “‘—found","[the, mouse, did, not, notice, this, question,, but, hurriedly, went, on,, “‘—found]","[71.0,12.0]","[0.963384628870272,0.6745153932746865]"
it advisable to go with Edgar Atheling to meet William and offer him,"[it, advisable, to, go, with, edgar, atheling, to, meet, william, and, offer, him]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
the crown. William’s conduct at first was moderate. But the insolence,"[the, crown., william’s, conduct, at, first, was, moderate., but, the, insolence]","[69.0,11.0]","[0.8954984394265252,0.49254477466009]"
"of his Normans—’ How are you getting on now, my dear?” it continued,","[of, his, normans—’, how, are, you, getting, on, now,, my, dear?”, it, continued,]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
turning to Alice as it spoke.,"[turning, to, alice, as, it, spoke.]","[29.0,6.0]","[-0.46222534944840915,-0.4173083184128922]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“As wet as ever,” said Alice in a melancholy tone: “it doesn’t seem to","[“as, wet, as, ever,”, said, alice, in, a, melancholy, tone:, “it, doesn’t, seem, to]","[70.0,14.0]","[0.9294415341483986,1.0384566305038794]"
dry me at all.”,"[dry, me, at, all.”]","[15.0,4.0]","[-0.9374286755546362,-0.781249555642085]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“In that case,” said the Dodo solemnly, rising to its feet, “I move","[“in, that, case,”, said, the, dodo, solemnly,, rising, to, its, feet,, “i, move]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"that the meeting adjourn, for the immediate adoption of more energetic","[that, the, meeting, adjourn,, for, the, immediate, adoption, of, more, energetic]","[70.0,11.0]","[0.9294415341483986,0.49254477466009]"
remedies—”,[remedies—”],"[10.0,1.0]","[-1.107144149164003,-1.3271614114858743]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“Speak English!” said the Eaglet. “I don’t know the meaning of half,"[“speak, english!”, said, the, eaglet., “i, don’t, know, the, meaning, of, half]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"those long words, and, what’s more, I don’t believe you do either!” And","[those, long, words,, and,, what’s, more,, i, don’t, believe, you, do, either!”, and]","[71.0,13.0]","[0.963384628870272,0.8564860118892829]"
the Eaglet bent down its head to hide a smile: some of the other birds,"[the, eaglet, bent, down, its, head, to, hide, a, smile:, some, of, the, other, birds]","[70.0,15.0]","[0.9294415341483986,1.2204272491184758]"
tittered audibly.,"[tittered, audibly.]","[17.0,2.0]","[-0.8695424861108895,-1.145190792871278]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“What I was going to say,” said the Dodo in an offended tone, “was,","[“what, i, was, going, to, say,”, said, the, dodo, in, an, offended, tone,, “was,]","[67.0,14.0]","[0.8276122499827785,1.0384566305038794]"
that the best thing to get us dry would be a Caucus-race.”,"[that, the, best, thing, to, get, us, dry, would, be, a, caucus-race.”]","[58.0,12.0]","[0.5221243974859183,0.6745153932746865]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
“What _is_ a Caucus-race?” said Alice; not that she wanted much to,"[“what, _is_, a, caucus-race?”, said, alice;, not, that, she, wanted, much, to]","[66.0,12.0]","[0.7936691552609052,0.6745153932746865]"
"know, but the Dodo had paused as if it thought that _somebody_ ought to","[know,, but, the, dodo, had, paused, as, if, it, thought, that, _somebody_, ought, to]","[71.0,14.0]","[0.963384628870272,1.0384566305038794]"
"speak, and no one else seemed inclined to say anything.","[speak,, and, no, one, else, seemed, inclined, to, say, anything.]","[55.0,10.0]","[0.4202951133202982,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"“Why,” said the Dodo, “the best way to explain it is to do it.” (And,","[“why,”, said, the, dodo,, “the, best, way, to, explain, it, is, to, do, it.”, (and,]","[69.0,15.0]","[0.8954984394265252,1.2204272491184758]"
"as you might like to try the thing yourself, some winter day, I will","[as, you, might, like, to, try, the, thing, yourself,, some, winter, day,, i, will]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
tell you how the Dodo managed it.),"[tell, you, how, the, dodo, managed, it.)]","[34.0,7.0]","[-0.29250987583904237,-0.23533769979829575]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
"First it marked out a race-course, in a sort of circle, (“the exact","[first, it, marked, out, a, race-course,, in, a, sort, of, circle,, (“the, exact]","[67.0,13.0]","[0.8276122499827785,0.8564860118892829]"
"shape doesn’t matter,” it said,) and then all the party were placed","[shape, doesn’t, matter,”, it, said,), and, then, all, the, party, were, placed]","[67.0,12.0]","[0.8276122499827785,0.6745153932746865]"
"along the course, here and there. There was no “One, two, three, and","[along, the, course,, here, and, there., there, was, no, “one,, two,, three,, and]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"away,” but they began running when they liked, and left off when they","[away,”, but, they, began, running, when, they, liked,, and, left, off, when, they]","[69.0,13.0]","[0.8954984394265252,0.8564860118892829]"
"liked, so that it was not easy to know when the race was over. However,","[liked,, so, that, it, was, not, easy, to, know, when, the, race, was, over., however,]","[71.0,15.0]","[0.963384628870272,1.2204272491184758]"
"when they had been running half an hour or so, and were quite dry","[when, they, had, been, running, half, an, hour, or, so,, and, were, quite, dry]","[65.0,14.0]","[0.7597260605390318,1.0384566305038794]"
"again, the Dodo suddenly called out “The race is over!” and they all","[again,, the, dodo, suddenly, called, out, “the, race, is, over!”, and, they, all]","[68.0,13.0]","[0.8615553447046519,0.8564860118892829]"
"crowded round it, panting, and asking, “But who has won?”","[crowded, round, it,, panting,, and, asking,, “but, who, has, won?”]","[57.0,10.0]","[0.4881813027640449,0.31057415604549354]"
"",[],"[0.0,1.0]","[-1.4465750963827366,-1.3271614114858743]"
This question the Dodo could not answer without a great deal of,"[this, question, the, dodo, could, not, answer, without, a, great, deal, of]","[63.0,12.0]","[0.6918398710952851,0.6745153932746865]"
"thought, and it sat for a long time with one finger pressed upon its","[thought,, and, it, sat, for, a, long, time, with, one, finger, pressed, upon, its]","[68.0,14.0]","[0.8615553447046519,1.0384566305038794]"
